epoch,bas_tt,vid_ut,rid_ut,vid_tt,red_tt,tea_tt
1,0.287050005048513,0.140999998897314,0.0982000008225441,0.294349998235703,0.104899998754263,0.134100001305342
2,0.535199999809265,0.195700004696846,0.0987000018358231,0.507300019264221,0.109999999403954,0.418700009584427
3,0.567499995231628,0.239399999380112,0.0988999977707863,0.625699996948242,0.110600002110004,0.533599972724915
4,0.599799990653992,0.244299992918968,0.0996999964118004,0.668600022792816,0.110200002789497,0.612800002098084
5,0.619000017642975,0.254099994897842,0.0992999970912933,0.681900024414063,0.110200002789497,0.619799971580505
6,0.634899973869324,0.257600009441376,0.100400000810623,0.700299978256226,0.111299999058247,0.666000008583069
7,0.652199983596802,0.267500013113022,0.100199997425079,0.695100009441376,0.110500000417233,0.739199995994568
8,0.667800009250641,0.268099993467331,0.100199997425079,0.666499972343445,0.110500000417233,0.760699987411499
9,0.676900029182434,0.261700004339218,0.311500012874603,0.730400025844574,0.402999997138977,0.734000027179718
10,0.67330002784729,0.24779999256134,0.343899995088577,0.717199981212616,0.491899996995926,0.755800008773804
11,0.6807000041008,0.277300000190735,0.387499988079071,0.730000019073486,0.552799999713898,0.77649998664856
12,0.695800006389618,0.294600009918213,0.409299999475479,0.721099972724915,0.595499992370606,0.759700000286102
13,0.702099978923798,0.286199986934662,0.412600010633469,0.718400001525879,0.619000017642975,0.780099987983704
14,0.714699983596802,0.299699991941452,0.437799990177155,0.754199981689453,0.652199983596802,0.773000001907349
15,0.692799985408783,0.283499985933304,0.438699990510941,0.752099990844727,0.678099989891052,0.798099994659424
16,0.715499997138977,0.263000011444092,0.446599990129471,0.755800008773804,0.68120002746582,0.784900009632111
17,0.717000007629395,0.302899986505508,0.437000006437302,0.715900003910065,0.703800022602081,0.80349999666214
18,0.712100028991699,0.301400005817413,0.465400010347366,0.754499971866608,0.708199977874756,0.803699970245361
19,0.715900003910065,0.290199995040894,0.465099990367889,0.761699974536896,0.728200018405914,0.798099994659424
20,0.703599989414215,0.297699987888336,0.481200009584427,0.730400025844574,0.734799981117249,0.797699987888336
21,0.717400014400482,0.306499987840652,0.473100006580353,0.745999991893768,0.722699999809265,0.802100002765656
22,0.705099999904633,0.309399992227554,0.490700006484985,0.7567999958992,0.753099977970123,0.796000003814697
23,0.716199994087219,0.315699994564056,0.480599999427795,0.777999997138977,0.761799991130829,0.803399980068207
24,0.712199985980988,0.272100001573563,0.490599989891052,0.749300003051758,0.768800020217896,0.804300010204315
25,0.717499971389771,0.307200014591217,0.499799996614456,0.777400016784668,0.772599995136261,0.771000027656555
26,0.715799987316132,0.326499998569489,0.496899992227554,0.764999985694885,0.778500020503998,0.797999978065491
27,0.715200006961823,0.290399998426437,0.511600017547607,0.730400025844574,0.784300029277802,0.805199980735779
28,0.706700026988983,0.298099994659424,0.520399987697601,0.767300009727478,0.793600022792816,0.787299990653992
29,0.713599979877472,0.310400009155273,0.529500007629395,0.779500007629395,0.783800005912781,0.801599979400635
30,0.708199977874756,0.308899998664856,0.520299971103668,0.773000001907349,0.787500023841858,0.805400013923645
31,0.707499980926514,0.32260000705719,0.555400013923645,0.719399988651276,0.800300002098084,0.809099972248077
32,0.700600028038025,0.267699986696243,0.553099989891052,0.772300004959106,0.799000024795532,0.800400018692017
33,0.720200002193451,0.322899997234344,0.551599979400635,0.776600003242493,0.800300002098084,0.804199993610382
34,0.702400028705597,0.337099999189377,0.553099989891052,0.777400016784668,0.799399971961975,0.807299971580505
35,0.713699996471405,0.324200004339218,0.556999981403351,0.775699973106384,0.799300014972687,0.811299979686737
36,0.706700026988983,0.325800001621246,0.554899990558624,0.7814000248909,0.799799978733063,0.79830002784729
37,0.712300002574921,0.328099995851517,0.55620002746582,0.776400029659271,0.797599971294403,0.812699973583221
38,0.702099978923798,0.33050000667572,0.554499983787537,0.791700005531311,0.799799978733063,0.807500004768372
39,0.714200019836426,0.317099988460541,0.529699981212616,0.777300000190735,0.798600018024445,0.808799982070923
40,0.712199985980988,0.321900010108948,0.540600001811981,0.787199974060059,0.804199993610382,0.79610002040863
41,0.7117999792099,0.314500004053116,0.553799986839294,0.780900001525879,0.806400001049042,0.812099993228912
42,0.713900029659271,0.331099987030029,0.544200003147125,0.769699990749359,0.807399988174439,0.815699994564056
43,0.717199981212616,0.333000004291534,0.570599973201752,0.778599977493286,0.799300014972687,0.814100027084351
44,0.698000013828278,0.237800002098083,0.532599985599518,0.789499998092651,0.806400001049042,0.819199979305267
45,0.699199974536896,0.326999992132187,0.563099980354309,0.774500012397766,0.804199993610382,0.815500020980835
46,0.706499993801117,0.307500004768372,0.552699983119965,0.765200018882751,0.806599974632263,0.821799993515015
47,0.711499989032745,0.348300009965897,0.535700023174286,0.778400003910065,0.801800012588501,0.814800024032593
48,0.720600008964539,0.311500012874603,0.556999981403351,0.786400020122528,0.810999989509583,0.817900002002716
49,0.720200002193451,0.323199987411499,0.575200021266937,0.779900014400482,0.812600016593933,0.817300021648407
50,0.711399972438812,0.348199993371963,0.57370001077652,0.79559999704361,0.811100006103516,0.819999992847443
51,0.708500027656555,0.327899992465973,0.556100010871887,0.781499981880188,0.810800015926361,0.815500020980835
52,0.717100024223328,0.311300009489059,0.582000017166138,0.795799970626831,0.816299974918366,0.818300008773804
53,0.716099977493286,0.296600013971329,0.534900009632111,0.785000026226044,0.813199996948242,0.809300005435944
54,0.714900016784668,0.355199992656708,0.565400004386902,0.7882000207901,0.811699986457825,0.813300013542175
55,0.708899974822998,0.269800007343292,0.571399986743927,0.802500009536743,0.817499995231628,0.811900019645691
56,0.705200016498566,0.340499997138977,0.590499997138977,0.770600020885468,0.816999971866608,0.823400020599365
57,0.71069997549057,0.260600000619888,0.545400023460388,0.788100004196167,0.815199971199036,0.822099983692169
58,0.706499993801117,0.245700001716614,0.591099977493286,0.800000011920929,0.82039999961853,0.81989997625351
59,0.719099998474121,0.273900002241135,0.60589998960495,0.793900012969971,0.813099980354309,0.821699976921082
60,0.717899978160858,0.353399991989136,0.60809999704361,0.797699987888336,0.811900019645691,0.818599998950958
61,0.706200003623962,0.34689998626709,0.628799974918366,0.776899993419647,0.819500029087067,0.83050000667572
62,0.717999994754791,0.328799992799759,0.627099990844727,0.79720002412796,0.816900014877319,0.825500011444092
63,0.702400028705597,0.369500011205673,0.627300024032593,0.795799970626831,0.817399978637695,0.822799980640411
64,0.718699991703033,0.367300003767014,0.625400006771088,0.801100015640259,0.819800019264221,0.82779997587204
65,0.716799974441528,0.36719998717308,0.627699971199036,0.790899991989136,0.818000018596649,0.825500011444092
66,0.721400022506714,0.368600010871887,0.629400014877319,0.788800001144409,0.818099975585938,0.82480001449585
67,0.715399980545044,0.368099987506866,0.625899970531464,0.805899977684021,0.817399978637695,0.824699997901917
68,0.716499984264374,0.271800011396408,0.626500010490418,0.785600006580353,0.817700028419495,0.829200029373169
69,0.71969997882843,0.261700004339218,0.605199992656708,0.791800022125244,0.8192999958992,0.829500019550324
70,0.72189998626709,0.323199987411499,0.552999973297119,0.792900025844574,0.822200000286102,0.827700018882751
71,0.701399981975555,0.346300005912781,0.579500019550324,0.802699983119965,0.813399970531464,0.823800027370453
72,0.71560001373291,0.238100007176399,0.609499990940094,0.791800022125244,0.819400012493134,0.810400009155273
73,0.724300026893616,0.160300001502037,0.616199970245361,0.789900004863739,0.817700028419495,0.825299978256226
74,0.722500026226044,0.364699989557266,0.587300002574921,0.798500001430512,0.819400012493134,0.833500027656555
75,0.719099998474121,0.291999995708466,0.630999982357025,0.799000024795532,0.812600016593933,0.824500024318695
